,MSE,RMSE,RMSLE,MAPE,R2
bp_model_1,521033935907.8413,721826.8046476532,1.4003270513740984,73.56299606701961,-15.111350314378186
bp_model_2,19013534945.353268,137889.57518736966,0.19053907140199328,12.962821270161525,0.41206570031660805
bp_model_3,162070978530.32663,402580.4000821782,0.545292066004795,40.14533674522127,-4.011539807568341
bp_model_4,357893534900.811,598242.0370559152,0.9755267554000409,61.25433830978656,-10.066741950293997
bp_model_5,170999568959.76614,413520.94137995737,0.5715495564199973,41.800660431644225,-4.2876286346265235
bp_model_6,29353252490.6937,171327.9092579306,0.22771594378950405,17.24367257950582,0.09234216592830768
bp_model_7,75195626492.20975,274218.20962913777,0.35504139744632135,27.14163658461011,-1.325190351400479
bp_model_8,23900084790.157185,154596.5225681263,0.20971752533076735,15.126429622201726,0.2609643785934266
bp_model_9,31531853290.52709,177572.1072987734,0.23175262187041956,17.972822543772672,0.02497572727178865
bp_model_10,297933202052.4208,545832.5769431692,0.8289218351130427,54.85962891313634,-8.2126555637635
