,MSE,RMSE,RMSLE,MAPE,R2
gru_model_1,34372083687.42087,185397.09730041857,0.21565468757401368,19.15181329304791,0.19543055626773043
gru_model_2,28045585335.532745,167468.1621548787,0.19203583633310198,17.227848559161814,0.3435189673760325
gru_model_3,10275627901.789064,101368.77182736834,0.10946611463134137,10.121160371369212,0.75947177656943
gru_model_4,11282652191.60333,106219.82955928394,0.11708747672751713,10.904709064671417,0.7358997120984807
gru_model_5,23851792517.743153,154440.2554962376,0.17584824758190654,15.918626835577179,0.4416857699831207
gru_model_6,23156870469.59127,152173.81663607992,0.17116365903505748,15.438796741350064,0.45795225678687146
gru_model_7,15252132439.435757,123499.52404538148,0.13776895401833827,12.698215916747483,0.6429835379163036
gru_model_8,14760605208.163593,121493.23112076489,0.13364591624809657,12.23355019452307,0.6544890315791343
gru_model_9,10714079510.510738,103508.8378376974,0.11276317770118482,10.464101514144588,0.7492086580997803
gru_model_10,15693035825.192484,125271.84769609045,0.13985696398954134,12.867677416922016,0.632663029126556
Average,18740446508.6983,134084.1373674201,0.1505291033840099,13.702649990751473,0.561330329580344
