,MSE,RMSE,RMSLE,MAPE,R2
lstm_model_1,34240011373.915627,185040.56683310182,0.21739590531067823,19.353615063995612,0.1985220577541018
lstm_model_2,101236574859.56728,318176.9552616394,0.40783028881762234,33.05807623334382,-1.3697095428035166
lstm_model_3,56285198869.30935,237245.01863961096,0.287958344834319,24.7733460970532,-0.3175038079292658
lstm_model_4,46468736398.677284,215566.08360008142,0.2609075196749924,22.8210422293567,-0.08772356471678999
lstm_model_5,22834666616.34465,151111.43774163706,0.1736411130487683,15.774628886169017,0.4654942893657663
lstm_model_6,26867140774.324043,163911.99094124883,0.19247557707009263,17.41574674535858,0.37110357626106194
lstm_model_7,51033442619.447815,225905.82688245963,0.27312762468550866,23.695525591114844,-0.19457257562475094
lstm_model_8,32626570961.194534,180628.26733707695,0.21345461244848404,19.105320372886023,0.23628889397978137
lstm_model_9,42197727858.02733,205420.8554602656,0.24421666885319396,21.46720474409359,0.012250675919197374
lstm_model_10,51636054700.52784,227235.68095818016,0.273460199481427,23.67270429124806,-0.20867830372869878
Average,46542612503.133575,211024.2683655302,0.25444678542250865,22.113721025461945,-0.08945283015231134
