,MSE,RMSE,RMSLE,MAPE,R2
rnn_model_1,45170353119.75508,212533.18122061572,0.284202590683074,21.7416378272912,-0.16491267269604126
rnn_model_2,32911772553.37896,181416.0206634986,0.25086049194599935,18.478571527948496,0.15122777927646236
rnn_model_3,11149637518.010736,105591.84399379877,0.157072574679659,10.225832153427517,0.7124584347112943
rnn_model_4,6064441022.29324,77874.52100843536,0.12254425153131937,7.828115500373093,0.84360219232828
rnn_model_5,33081243983.289154,181882.50048668552,0.23925562361858,18.70125925410916,0.1468572264087682
rnn_model_6,475121382978.02325,689290.4924471418,1.37932933694782,72.43480130104032,-11.253057190688827
rnn_model_7,160345373048.95627,400431.4835885863,0.5595648162343557,42.23900235794289,-3.1351980706834954
rnn_model_8,43702525770.39892,209051.4907155625,0.2515367389096695,21.49406342734599,-0.12705840407738345
rnn_model_9,7315244758.287438,85529.20412518427,0.1349839233262641,9.01394815734809,0.8113448150336592
rnn_model_10,5111794092.279297,71496.81176303806,0.09700498815358313,6.780770497680503,0.8681703084648988
Average,81997376884.46724,221509.75500125467,0.3476355336030324,22.893800200450727,-1.1146565581922385
