,mse,rmse,rmsle,mape,r2
model0,5467180163.58311,73940.38249551532,0.09081780750189944,7.0132998462746645,0.8590051434934429
model1,5777954976.814859,76012.86060144598,0.09643686993862075,7.345122856387914,0.8509904725138158
model2,9362582091.186653,96760.43660084762,0.113269444440723,9.674057612167374,0.7585453782425629
model3,3010529698.8071675,54868.29411242132,0.08151122336702464,5.108324191000886,0.9223604874557757
model4,9953182725.989422,99765.63900456621,0.10825600963176152,9.494388380334948,0.7433141897203022
model5,6499479370.495602,80619.34861120873,0.09884002556484492,7.730606540109268,0.8323828493316444
model6,5052840938.684957,71083.33798215273,0.0870330803052546,6.574556919411235,0.8696906701839089
model7,17172611064.454441,131044.30954625401,0.13834539284292838,12.949836648562316,0.5571300450269383
model8,9995614232.944586,99978.06875982645,0.11614537269822903,10.071390728890847,0.7422199100266587
model9,8513931791.477094,92270.96938624355,0.10527557066782471,9.00800761768252,0.7804314920437543
Average,8080590705.443789,87634.36471004819,0.1035930796959111,8.496959134082198,0.7916070638038805
