Date,Pack(10k)
2008-01 ,11227.7
2008-02 ,9137
2008-03 ,13350.8
2008-04 ,11220.4
2008-05 ,12187.4
2008-06 ,12824.5
2008-07 ,12571.6
2008-08 ,13582.5
2008-09 ,13471.2
2008-10 ,13351.5
2008-11 ,13236.4
2008-12 ,15168.2
2009-01 ,10971.8
2009-02 ,11781
2009-03 ,15292.7
2009-04 ,14593.4
2009-05 ,14829.1
2009-06 ,15714.1
2009-07 ,16273.1
2009-08 ,16850.4
2009-09 ,17791.9
2009-10 ,14853.5
2009-11 ,17534.8
2009-12 ,19299
2010-01 ,17065.7
2010-02 ,11147.1
2010-03 ,19083.3
2010-04 ,18193.8
2010-05 ,18661.1
2010-06 ,19438
2010-07 ,19308.2
2010-08 ,19710.6
2010-09 ,21535.3
2010-10 ,20162.9
2010-11 ,23220
2010-12 ,26366.2
2011-01 ,25301.6
2011-02 ,17177.4
2011-03 ,28645.4
2011-04 ,28015
2011-05 ,29113.8
2011-06 ,30078.4
2011-07 ,29599
2011-08 ,31235.6
2011-09 ,32462.6
2011-10 ,33414.7
2011-11 ,39393.8
2011-12 ,42873.8
2012-01 ,27319.4
2012-02 ,35164.2
2012-03 ,41850.9
2012-04 ,40373.8
2012-05 ,48993.9
2012-06 ,45447.6
2012-07 ,46244.9
2012-08 ,46561.8
2012-09 ,51345.3
2012-10 ,52421.3
2012-11 ,67126.6
2012-12 ,65698.4
2013-01 ,68917.7
2013-02 ,35473.1
2013-03 ,67043.8
2013-04 ,66249.4
2013-05 ,74178.7
2013-06 ,72154.1
2013-07 ,74802.1
2013-08 ,75266.7
2013-09 ,83637.1
2013-10 ,85303.5
2013-11 ,108703.4
2013-12 ,106945.3
2014-01 ,88950
2014-02 ,68886.2
2014-03 ,102528.2
2014-04 ,105417.5
2014-05 ,111634.7
2014-06 ,112926.3
2014-07 ,111245.1
2014-08 ,114050.7
2014-09 ,122992
2014-10 ,128997.1
2014-11 ,164616.5
2014-12 ,163681.1
2015-01 ,144570.4
2015-02 ,81779.5
2015-03 ,142537.8
2015-04 ,151483.9
2015-05 ,161002.5
2015-06 ,164486.7
2015-07 ,163988.3
2015-08 ,169020.3
2015-09 ,191336.9
2015-10 ,194064.8
2015-11 ,260537.8
2015-12 ,241828
2016-01 ,215505.3
2016-02 ,124618.3
2016-03 ,236922.2
2016-04 ,237303.2
2016-05 ,253108.3
2016-06 ,257633.1
2016-07 ,249640.6
2016-08 ,252296.1
2016-09 ,282685.9
2016-10 ,302614.2
2016-11 ,376447.9
2016-12 ,339540
2017-01 ,221113.6
2017-02 ,234430.1
2017-03 ,303493.7
2017-04 ,298237
2017-05 ,334061.8
2017-06 ,340453.2
2017-07 ,320498.9
2017-08 ,326398.6
2017-09 ,360605.6
2017-10 ,374771.5
2017-11 ,471490.3
2017-12 ,420037.7
2018-01 ,398613.3
2018-02 ,198867.2
2018-03 ,394330.2
2018-04 ,375275.5
2018-05 ,417842.2
2018-06 ,422881
2018-07 ,408083.3
2018-08 ,410136
2018-09 ,447629.1
2018-10 ,469187.5
2018-11 ,586357
2018-12 ,541822.2
2019-01 ,452289.5
2019-02 ,275950.6
2019-03 ,486392.8
2019-04 ,491910.9
2019-05 ,523276.4
2019-06 ,546077.6
2019-07 ,524847.6
2019-08 ,530243
2019-09 ,559722.6
2019-10 ,575730.1
2019-11 ,712424.1
2019-12 ,673425.7
2020-01 ,378096.8
2020-02 ,276521.4
2020-03 ,598423.1
2020-04 ,649726.4
2020-05 ,738292.5
2020-06 ,746967.5
2020-07 ,693601.4
2020-08 ,723622.1
2020-09 ,809158.2
2020-10 ,823388
2020-11 ,972623.3
2020-12 ,925368.3
2021-01 ,849444.2
2021-02 ,461809.2
2021-03 ,881816.2
2021-04 ,849765.1
2021-05 ,922326.8
2021-06 ,974071
2021-07 ,893360.5
2021-08 ,899210.7
2021-09 ,944953.9
2021-10 ,994824.9
2021-11 ,1133224.6
2021-12 ,1024834.3
2022-01 ,877437.4
2022-02 ,691100.9
2022-03 ,854102.3
2022-04 ,748316.1
2022-05 ,924344.6
2022-06 ,1026343.4
2022-07 ,964542.7
2022-08 ,943317.1
2022-09 ,971023.2
2022-10 ,986265.3
2022-11 ,1034696.4
2022-12 ,1036632.6
2023-01 ,722751.5
2023-02 ,917545.4
2023-03 ,1048385.2
2023-04 ,1021061.2
2023-05 ,1098987.2
2023-06 ,1143687.3
2023-07 ,1077448
2023-08 ,1116156.9
2023-09 ,1165679.5
2023-10 ,1205526.2
2023-11 ,1364293.4
2023-12 ,1325671.8
2024-01 ,1384863.0
2024-02 ,856045.3
2024-03 ,1470055.4
2024-04 ,
2024-05 ,
2024-06 ,
2024-07 ,
2024-08 ,
2024-09 ,
2024-10 ,
2024-11 ,
2024-12 ,
